Word,Lemma
खण्डमोदकः,खण्डमोदकः
खण्डः,खण्डमोदकः
उपला,खण्डमोदकः
शुक्तोपला,खण्डमोदकः
शर्करा,खण्डमोदकः
सिताखण्डः,खण्डमोदकः
दृढगात्रिका,खण्डमोदकः
स्वेदबिन्दुः,स्वेदबिन्दुः
चातुर्मासः,चातुर्मासः
चातुर्यम्,चातुर्यम्
घर्घरः,घर्घरः
निम्बबीजम्,निम्बबीजम्
अरिष्टबीजम्,निम्बबीजम्
हिङ्गुनिर्यासबीजम्,निम्बबीजम्
सर्वतोभद्रबीजम्,निम्बबीजम्
मालकबीजम्,निम्बबीजम्
पिचुमर्दबीजम्,निम्बबीजम्
अर्कपादपबीजम्,निम्बबीजम्
वरत्वचबीजम्,निम्बबीजम्
कैटर्यबीजम्,निम्बबीजम्
छर्दिघ्नबीजम्,निम्बबीजम्
प्रभद्रबीजम्,निम्बबीजम्
पारिभद्रकबीजम्,निम्बबीजम्
काकफलबीजम्,निम्बबीजम्
विशीर्णपर्णबीजम्,निम्बबीजम्
यवनेष्टबीजम्,निम्बबीजम्
पीतसारकबीजम्,निम्बबीजम्
कीकटबीजम्,निम्बबीजम्
मिष्टान्नम्,मिष्टान्नम्
गोल्फक्रीडकः,गोल्फक्रीडकः
गोल्फक्रीडिका,गोल्फक्रीडकः
धैर्यता,धैर्यता
परिधारणा,धैर्यता
स्थैर्य,धैर्यता
गन्धनम्,धैर्यता
माता,माता
देवी,माता
माता,माता
आर्या,माता
देवी,माता
महाविनाशः,महाविनाशः
समप्रोटानः,समप्रोटानः
गुरुः,गुरुः
तीर्थम्,गुरुः
राजपत्रम्,राजपत्रम्
गृहव्ययः,गृहव्ययः
चिन्तावेश्म,चिन्तावेश्म
प्रकाशिन्,प्रकाशिन्
मूढ,मूढ
राजकचौरी,राजकचौरी
चञ्चल,चञ्चल
अपस्यु,चञ्चल
इर्य,चञ्चल
इषिर,चञ्चल
उत्साहिन्,चञ्चल
उदार,चञ्चल
विचर्षणि,चञ्चल
सक्रिय,चञ्चल
सचेष्ट,चञ्चल
महार्घ,महार्घ
शीघ्र,शीघ्र
स्पष्ट,स्पष्ट
सफरमासम्,सफरमासम्
अन्तरम्,अन्तरम्
उत्कट,उत्कट
